a.live_stream_id,a.start_time,a.end_time,a.start_sequence,a.end_sequence
8629177230,6867.267,6869.767,1369,1370
8629159223,7218.296,7220.956,1438,1439
8629159223,7245.586,7246.996,1444,1444
8629159223,7247.626,7252.826,1444,1445
8628160764,29092.057,29098.246,5816,5818
8628160764,29098.246,29105.297,5818,5819
8628160764,29112.227,29118.627,5820,5822
8629456944,2084.877,2090.107,417,418
8627619415,59473.125,59478.824,11893,11894
8629456944,2094.7668,2101.2268,419,420
8627619415,59483.016,59489.156,11895,11896
8627619415,59489.156,59495.727,11896,11897
8627619415,59496.996,59499.227,11898,11898
8629278759,5535.563,5541.143,1107,1108
8629278759,5546.653,5552.633,1109,1111
8629278759,5558.633,5564.943,1112,1113
8629278759,5564.943,5571.103,1113,1114
8629260501,5945.896,5947.866,1189,1190
8629399905,3705.561,3707.131,741,742
8629399905,3727.781,3731.811,746,747
8629399905,3734.791,3738.9111,747,748
8629399905,3745.441,3747.761,749,750
8629166187,8216.597,8221.337,1644,1644
8628037723,35516.18,35524.18,7101,7103
8628037723,35541.16,35547.18,7106,7107
8628861650,14343.585,14349.235,2869,2870
8628861650,14349.235,14355.005,2870,2871
8629523530,2070.83,2074.1,414,415
8629265400,6883.483,6887.863,1376,1377
8629265400,6887.8633,6894.1035,1377,1379
8629283762,6651.083,6657.643,1330,1332
8629402853,4821.54,4825.68,964,965
8629421562,4490.9062,4493.8564,897,898
8629402853,4853.42,4858.21,970,971
8629421562,4512.226,4516.086,902,902
8629421562,4516.086,4517.0957,902,903
8629402853,4866.42,4870.62,973,974
8627934986,45656.977,45663.605,9132,9133
8627934986,45671.06,45673.938,9134,9135
8628880587,14905.674,14908.794,2981,2982
8629360983,5976.462,5977.5117,1160,1160
8629360983,6000.982,6002.2617,1165,1165
8629360983,6004.692,6006.4717,1165,1166
8629360983,6008.642,6010.932,1166,1167
8629652731,966.95496,967.96497,193,193
8629077083,11854.985,11862.005,2369,2370
8629077083,11862.205,11870.205,2370,2372
8629434513,5311.609,5314.979,1027,1027
8629619901,1977.982,1983.4921,394,395
8629169391,10563.439,10566.35,2110,2111
8628218843,5460.065,5463.065,1092,1093
8628218843,5469.755,5471.645,1094,1094
8628218843,5506.2446,5507.3647,1101,1102
8627952991,19717.693,19724.553,3944,3945
8627952991,19734.104,19738.963,3947,3948
8628009970,14569.235,14575.716,2913,2914
8628335408,2706.051,2709.811,542,543
8628009970,14588.195,14594.686,2917,2918
8628009970,14594.685,14600.665,2918,2919
8628403303,1222.69,1228.74,244,246
8628403303,1240,1247.99,248,249
8627993246,16532.34,16539.79,3307,3308
8627993246,16539.79,16546.068,3308,3309
8627993246,16554.068,16560.12,3311,3312
8628313665,4035.135,4041.495,807,808
8628313665,4056.155,4063.955,811,813
8628313665,4063.955,4071.955,813,815
8628313665,4078.335,4082.275,816,817
8628113970,10762.385,10767.675,2153,2154
8628113970,10774.895,10782.664,2155,2157
8628279960,5584.232,5588.162,1116,1117
8628279960,5588.162,5594.722,1117,1118
8628279960,5594.722,5600.102,1118,1119
8628527167,560.852,566.092,112,113
8628158781,9516.007,9523.146,1904,1905
8628158781,9523.147,9528.857,1905,1906
8628430597,2621.6692,2626.8892,521,522
8628426773,2764.9348,2770.015,553,554
8628430597,2694.696,2695.696,534,534
8628426773,2770.015,2774.765,554,555
8628430597,2703.456,2704.516,536,536
8628226653,7806.494,7809.604,1562,1562
8628382906,3998.672,4002.552,800,801
8628382906,4020.872,4025.922,804,805
8628382906,4026.072,4031.292,805,806
8628226653,7843.004,7847.494,1569,1570
8628336704,5104.384,5107.5137,1021,1021
8628336704,5123.164,5126.954,1025,1025
8628299976,6006.575,6010.9253,1144,1145
8628299976,6011.665,6013.695,1145,1146
8628336704,5147.334,5150.474,1029,1030
8628299976,6026.605,6029.535,1148,1149
8628419744,3298.238,3305.028,660,661
8628545758,985.917,988.32697,197,198
8628529619,1310.972,1314.442,260,260
8628545758,1010.037,1016.07697,202,203
8628495864,2332.636,2338.076,466,467
8628495864,2338.206,2344.7961,467,468
8628188538,9741.682,9745.132,1949,1949
8628188538,9745.222,9748.722,1949,1950
8694327095,3412.833,3417.023,683,683
8694394473,2280.728,2283.268,456,457
8694327095,3424.653,3431.353,685,686
8694327095,3431.353,3436.013,686,687
8694094403,8380.859,8381.85,1675,1676
8694450166,1560.53,1568.43,312,314
8694450166,1568.43,1575.1001,314,315
8694450166,1581.78,1587.88,317,318
8694492638,1065.465,1070.975,213,214
8694276340,4630.8667,4631.8965,926,927
8694450166,1728.648,1733.818,346,347
8694276340,4648.177,4649.987,930,930
8694276340,4649.987,4654.3066,930,931
8694406387,2564.631,2572.281,511,512
8694372136,3179.5261,3183.216,636,637
8694439554,2201.298,2204.8782,440,441
8693255673,27581.057,27584.768,5514,5514
8693255673,27590.926,27595.945,5516,5517
8694428398,2620.783,2626.263,523,524
8694428398,2631.413,2635.4832,525,526
8694592369,607.989,614.049,122,123
8694592369,627.499,633.849,126,127
8694592369,655.06903,661.77905,131,133
8694592369,668.039,675.169,134,135
8692723533,43555.527,43561.4,8711,8712
8692723533,43561.758,43569.758,8713,8714
8694557597,1471.905,1476.805,292,293
8694557597,1477.555,1484.1951,293,294
8694544544,1882.556,1887.3661,377,378
8694544544,1901.336,1901.676,380,380
8694567760,1650.271,1657.181,330,332
8694544544,1901.465,1908.9149,381,382
8694544544,1908.915,1913.625,382,383
8694567760,1657.181,1662.461,332,333
8694567760,1662.461,1668.581,333,334
8694544544,1913.625,1921.375,383,384
8694544544,1921.375,1928.345,384,386
8694567760,1690.7211,1697.171,338,340
8693453784,23860.652,23866.422,4772,4773
8694618585,1268.392,1272.532,253,254
8694343246,5086.643,5090.983,1018,1018
8694501523,2682.476,2687.5562,537,538
8694501523,2720.366,2723.606,544,545
8694284647,6232.622,6235.352,1247,1247
8694284647,6237.142,6238.892,1248,1248
8694564297,2439.063,2441.473,485,486
8694564297,2442.4028,2446.6228,486,487
8694762899,273.3,278.72998,54,55
8694233606,7729.789,7735.379,1546,1547
8694233606,7736.109,7740.099,1547,1548
8692777322,42393.02,42396.27,8477,8478
8694330892,5918.779,5922.7886,1169,1170
8692777322,42415.61,42422.7,8482,8483
8694593471,2210.593,2215.083,440,441
8694593471,2221.303,2225.743,443,443
8694519797,3091.168,3095.788,618,619
8694519797,3095.788,3103.788,619,621
8694519797,3103.788,3109.958,621,622
8694519797,3115.768,3118.468,623,624
8694519797,3127.448,3132.268,625,626
8693982976,13459.569,13465.689,2692,2693
8693982976,13475.939,13479.55,2695,2696
8693982976,13494.859,13501.4795,2699,2700
8693143009,32381.92,32383.15,6475,6476
8694598397,2458.216,2460.496,492,492
8694598397,2469.466,2471.5562,494,494
8694482829,4038.325,4041.665,807,808
8694482829,4068.4849,4073.285,813,814
8694482829,4073.285,4074.755,814,815
8694532686,3477.6208,3479.3909,696,696
8694532686,3482.761,3484.911,697,697
8694532686,3492.3809,3495.221,699,699
8694532686,3505.811,3509.1711,701,702
8614810184,7146.452,7149.662,1426,1427
8614810184,7153.642,7158.452,1428,1429
8612685403,54131.395,54136.574,10826,10827
8612685403,54137.695,54143.125,10827,10828
8614810184,7194.142,7201.0923,1436,1437
8612685403,54149.242,54154.6,10829,10830
8614088822,18960.424,18965.543,3792,3793
8614088822,18965.545,18970.725,3793,3794
8615464370,286.257,290.99698,32,33
8614088822,18989.385,18995.584,3798,3799
8614970486,5959.484,5964.404,1190,1191
8614373497,13200.106,13203.276,2636,2637
8614373497,13236.866,13240.616,2644,2644
8614212904,16532.824,16539.014,3304,3305
8614853665,7628.887,7636.0874,1526,1528
8614853665,7644.087,7648.677,1529,1530
8614853665,7666.0474,7670.827,1534,1535
8613760447,27073.371,27076.252,5413,5413
8615306193,3111.972,3117.6418,622,623
8613760447,27076.25,27079.73,5413,5414
8615306193,3117.642,3123.662,623,625
8615306193,3136.332,3141.542,627,628
8615374558,2380.885,2388.525,476,478
8615374558,2399.285,2405.405,480,481
8614820394,8750.824,8758.6045,1750,1752
8614820394,8779.193,8781.894,1756,1756
8614820394,8781.894,8789.894,1756,1758
8614419655,13812.136,13817.826,2762,2764
8614419655,13824.986,13830.876,2765,2766
8614419655,13836.366,13839.017,2767,2768
8615158453,6183.0713,6186.161,1237,1238
8615158453,6209.5913,6213.011,1242,1243
8615117950,6680.978,6683.618,1336,1337
8615117950,6686.658,6690.248,1338,1338
8614475708,13591.501,13596.401,2719,2720
8614475708,13596.401,13600.722,2720,2721
8614596156,12101.26,12107.66,2420,2422
8614596156,12107.66,12113.13,2422,2423
8614596156,12121.13,12129.13,2424,2426
8614596156,12136.5,12141.87,2427,2428
8614596156,12148.94,12156.54,2430,2431
8614596156,12156.54,12161.07,2431,2432
8615002767,8040.2407,8042.3306,1608,1609
8615002767,8044.8306,8048.2505,1609,1610
8613017172,45990.293,45998.293,9199,9200
8613017172,46030.223,46037.562,9207,9208
8615079289,7441.095,7446.375,1489,1490
8615079289,7446.375,7450.885,1490,1490
8612537795,69645.75,69651.07,13930,13931
8612537795,69657.36,69663.65,13933,13934
8612537795,69663.65,69668.07,13934,13935
8612537795,69675.6,69676.52,13936,13937
8614802368,10360.72,10362.59,2072,2073
8614802368,10364.46,10368.31,2073,2074
8614962792,8914.832,8920.472,1783,1784
8614962792,8921.482,8923.202,1784,1785
8614114038,21480.729,21481.479,4295,4296
8615496624,3083.275,3089.635,616,618
8614471021,14524.115,14528.765,2859,2860
8614935294,9390.382,9396.762,1848,1849
8614935294,9396.762,9404.762,1849,1851
8697005431,3036.143,3043.583,608,609
8697063467,1687.8009,1693.5309,338,339
8697063467,1718.121,1721.781,344,345
8696819804,7604.832,7611.392,1522,1524
8696819804,7612.402,7614.902,1524,1524
8696608757,13489.408,13493.398,2652,2653
8696428367,18422.96,18429.21,3685,3686
8696428367,18429.21,18435.58,3686,3687
8696428367,18449.57,18455.42,3690,3691
8696428367,18455.42,18461.09,3691,3692
8697148351,690.623,696.963,138,140
8697148351,696.963,702.74304,140,141
8697148351,702.943,708.803,141,142
8697148351,730.026,733.726,146,147
8697085070,2369.574,2370.584,473,474
8697181008,380.219,384.199,76,77
8694257493,74499.49,74500.2,14900,14901
8697162939,1052.1229,1057.2329,211,212
8697162939,1057.2329,1064.0929,212,213
8697162939,1064.093,1068.873,213,214
8697162939,1102.193,1108.583,221,222
8697162939,1113.8729,1117.433,223,224
8697081987,3132.308,3139.6182,627,628
8697081987,3157.808,3163.8782,632,633
8697081987,3163.8782,3167.508,633,634
8697017795,4732.9727,4739.0327,947,948
8697017795,4739.6025,4745.4624,948,949
8697134125,2375.231,2376.921,475,476
8696708010,12917.2295,12918.529,2583,2584
8696708010,12918.53,12925.71,2584,2585
8696927572,7319.677,7324.777,1464,1465
8696927572,7328.327,7332.4473,1466,1467
8696927572,7341.677,7349.677,1469,1470
8696927572,7357.677,7363.627,1472,1473
8696909435,7829.443,7833.9526,1566,1567
8696909435,7852.023,7858.433,1571,1572
8697127405,2831.0398,2837.0798,562,563
8697127405,2837.0798,2842.7197,563,564
8697127405,2842.72,2848.48,564,565
8697127405,2851.6199,2858.7,566,567
8697127405,2858.7,2866.7,567,569
8697090487,3750.6091,3753.4192,750,751
8697090487,3770.839,3777.8892,754,756
8697090487,3785.8591,3788.6592,757,758
8697116481,3379.2341,3384.134,673,674
8697160864,2451.914,2453.724,490,491
8697116481,3415.0342,3420.454,680,681
8697116481,3422.5042,3427.5342,682,683
8697160864,2476.4539,2481.574,495,496
8697116481,3452.464,3455.164,688,688
8696898538,8590.345,8595.135,1718,1719
8696898538,8603.055,8611.055,1721,1722
8696898538,8611.055,8617.725,1722,1724
8696898538,8617.725,8623.935,1724,1725
8697177131,2434.043,2442.043,487,489
8697177131,2442.043,2448.553,489,490
8697177131,2448.553,2454.643,490,491
8697039694,5748.933,5752.953,1145,1146
8703470248,89.544,92.524,18,19
8703414932,1954.401,1958.911,391,392
8703414932,1978.041,1983.1011,396,397
8703462794,566.627,567.937,113,114
8703462794,591.977,593.627,118,119
8703299831,6520.653,6525.7827,1304,1305
8703299831,6532.933,6537.143,1306,1307
8703420409,2197.021,2201.851,438,439
8703420409,2218.731,2222.911,443,443
8703247994,9554.811,9559.73,1910,1911
8703247994,9573.251,9577.011,1913,1914
8703247994,9580.9,9586.931,1915,1916
8703247994,9591.48,9598.711,1917,1918
8703428383,2148.293,2151.353,421,422
8703460983,1215.792,1217.702,243,243
8703277820,8375.671,8380.651,1675,1675
8703424795,2835.594,2843.184,567,569
8703424795,2855.3938,2858.3037,571,572
8703424795,2865.564,2869.274,573,574
8703487468,1227.4451,1234.6951,246,247
8703487468,1235.5651,1238.4651,247,248
8703487468,1256.735,1259.335,251,252
8703487468,1260.0851,1264.5151,252,253
8703487468,1269.875,1275.985,254,255
8703487468,1285.985,1293.045,257,259
8703389491,4400.196,4404.126,874,875
8703352519,5764.8438,5769.7236,1153,1154
8703352519,5789.634,5793.794,1158,1159
8703545121,133.122,138.672,27,28
8703545121,138.672,145.46199,28,29
8703545121,145.46199,153.38199,29,31
8703230717,12196.285,12198.565,2438,2439
8703230717,12222.415,12224.595,2443,2444
8703526946,1077.455,1081.865,216,217
8703548340,695.058,702.65796,137,139
8703471985,2764.842,2767.9622,550,551
8703492991,2265.805,2269.795,453,454
8703322372,7975.509,7979.499,1595,1596
8703434392,3974.136,3977.156,795,795
8703234120,12556.404,12564.404,2512,2513
